index,links,pincode,bedrooms,bathroom,parking,furniture,carpet_area_sqft,agent,transaction_type,property_type,price,Latitude,Longitude,location,location_with_pincode
4219,https://www.magicbricks.com/propertyDetails/2-BHK-865-Sq-ft-Multistorey-Apartment-FOR-Sale-Bhayandar-East-in-Mumbai-r1&id=4d423436303934313131,401105,2,3,No covered parking,furnished,735,Not certified,Resale,Apartment,6900000,20.2121,73.9158,Bhayander East,Bhayander East - 401105
4220,https://www.magicbricks.com/propertyDetails/2-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-Borivali-East-in-Mumbai&id=4d423437313135383533,400066,2,1,No covered parking,semi-furnished,500,Not certified,Resale,Apartment,8960000,19.1699,72.8504,Rajendra Nagar (Mumbai),Rajendra Nagar (Mumbai) - 400066
4221,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-Malad-West-in-Mumbai&id=4d423537353034333739,400095,2,2,No covered parking,unfurnished,795,Not certified,Resale,Apartment,21000000,19.2355,72.8468,Kharodi,Kharodi - 400095
4222,https://www.magicbricks.com/propertyDetails/2-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Borivali-West-in-Mumbai&id=4d423633353134383735,400092,2,2,No covered parking,furnished,650,Not certified,Resale,Apartment,20700000,19.2361,72.8338,Borivali West,Borivali West - 400092
4223,https://www.magicbricks.com/propertyDetails/2-BHK-1090-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-West-in-Mumbai&id=4d423639313233363439,400047,2,2,No covered parking,semi-furnished,700,Not certified,Resale,Apartment,18000000,19.136326,72.82766,Andheri west,Andheri west-400047
4224,https://www.magicbricks.com/propertyDetails/2-BHK-1377-Sq-ft-Multistorey-Apartment-FOR-Sale-Wadala-in-Mumbai&id=4d423636353739333139,400037,2,2,No covered parking,semi-furnished,1377,Not certified,Resale,Apartment,30000000,19.0167,72.85,Antop Hill,Antop Hill - 400037
4225,https://www.magicbricks.com/propertyDetails/2-BHK-1075-Sq-ft-Multistorey-Apartment-FOR-Sale-Borivali-West-in-Mumbai&id=4d423530373636323730,400092,2,2,No covered parking,semi-furnished,800,Not certified,Resale,Apartment,25500000,19.2361,72.8338,Borivali West,Borivali West - 400092
4226,https://www.magicbricks.com/propertyDetails/2-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Dahisar-West-in-Mumbai&id=4d423639313833373439,400068,2,1,No covered parking,furnished,650,Not certified,Resale,Apartment,16500000,19.2565,72.8733,Dahisar,Dahisar - 400068
4227,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-West-in-Mumbai&id=4d423333343638303239,400047,2,2,No covered parking,semi-furnished,750,Not certified,Resale,Apartment,20000000,19.136326,72.82766,Andheri west,Andheri west-400047
4228,https://www.magicbricks.com/propertyDetails/2-BHK-652-Sq-ft-Multistorey-Apartment-FOR-Sale-Dahisar-East-in-Mumbai&id=4d423638393036393933,400068,2,2,No covered parking,unfurnished,652,Not certified,Resale,Apartment,14000000,19.2565,72.8733,Dahisar,Dahisar - 400068
4229,https://www.magicbricks.com/propertyDetails/2-BHK-1040-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423232363533313635,400104,2,2,covered parking,semi-furnished,1040,Not certified,Resale,Apartment,13500000,19.0499,73.259,Motilal Nagar,Motilal Nagar - 400104
4230,https://www.magicbricks.com/propertyDetails/2-BHK-579-Sq-ft-Multistorey-Apartment-FOR-Sale-Shimpoli-in-Mumbai&id=4d423638363437313233,400092,2,2,covered parking,unfurnished,579,Not certified,Resale,Apartment,16100000,19.2361,72.8338,Borivali West,Borivali West - 400092
